NoOfEvals,MsArexJggDoubleSphereUV_0,MsArexJggDoubleSphereUV_1,MsArexJggDoubleSphereUV_2,MsArexJggDoubleSphereUV_3,MsArexJggDoubleSphereUV_4,MsArexJggDoubleSphereUV_5,MsArexJggDoubleSphereUV_6,MsArexJggDoubleSphereUV_7,MsArexJggDoubleSphereUV_8,MsArexJggDoubleSphereUV_9
26550,0.10000000000096135,0.10000000000067268,0.1000000000020938,0.10000000000102534,0.10000000000142366,0.10000000000074175,0.10000000000100226,0.1000000000004581,0.10000000000037121,0.10000000000108494
27050,0.1000000000005218,0.10000000000060656,0.10000000000091236,0.10000000000088395,0.1000000000012472,0.1000000000004559,0.10000000000025429,0.10000000000032243,0.10000000000035389,0.10000000000094282
27550,0.10000000000031403,0.10000000000029004,0.10000000000032996,0.10000000000016263,0.10000000000039963,0.10000000000019486,0.10000000000019413,0.10000000000026672,0.10000000000022716,0.10000000000039654
28050,0.10000000000027857,0.10000000000011795,0.1000000000001941,0.10000000000015695,0.1000000000002751,0.1000000000001514,0.10000000000018963,0.10000000000014204,0.10000000000008213,0.10000000000030528
28550,0.1000000000001154,0.10000000000011795,0.10000000000007371,0.10000000000003119,0.10000000000015503,0.10000000000007359,0.10000000000013559,0.10000000000008845,0.1000000000000568,0.100000000000156
29050,0.10000000000007192,0.10000000000004565,0.10000000000007371,0.10000000000003681,0.10000000000005287,0.1000000000000473,0.10000000000005772,0.1000000000000674,0.10000000000002396,0.10000000000007439
29550,0.10000000000003514,0.10000000000001588,0.10000000000004426,0.1000000000000234,0.10000000000003696,0.1000000000000175,0.10000000000002912,0.10000000000002562,0.10000000000002066,0.1000000000000679
30050,0.10000000000003056,0.10000000000001297,0.10000000000001939,0.1000000000000234,0.10000000000001552,0.10000000000000892,0.10000000000002912,0.10000000000001304,0.10000000000001798,0.10000000000003972
30550,0.10000000000001034,0.1000000000000043,0.10000000000001667,0.10000000000001166,0.10000000000001552,0.10000000000000604,0.10000000000001412,0.10000000000001304,0.10000000000000683,0.100000000000015
31050,0.10000000000000707,0.10000000000000452,0.10000000000000334,0.10000000000000321,0.10000000000000431,0.10000000000000604,0.10000000000000643,0.10000000000000302,0.10000000000000253,0.100000000000015
31550,0.10000000000000525,0.10000000000000232,0.10000000000000495,0.10000000000000239,0.1000000000000042,0.10000000000000256,0.10000000000000392,0.10000000000000302,0.10000000000000092,0.10000000000000552
32050,0.1000000000000022,0.10000000000000113,0.10000000000000413,0.10000000000000199,0.10000000000000227,0.10000000000000202,0.10000000000000224,0.1000000000000025,0.10000000000000128,0.1000000000000046
32550,0.10000000000000113,0.1000000000000006,0.10000000000000159,0.10000000000000095,0.1000000000000015,0.1000000000000009,0.1000000000000013,0.1000000000000015,0.10000000000000062,0.10000000000000045
33050,0.1000000000000008,0.1000000000000004,0.10000000000000077,0.10000000000000052,0.10000000000000053,0.10000000000000073,0.1000000000000006,0.1000000000000008,0.10000000000000027,0.10000000000000066
33550,0.10000000000000044,0.10000000000000023,0.10000000000000064,0.10000000000000016,0.10000000000000032,0.1000000000000002,0.10000000000000035,0.1000000000000002,0.1000000000000002,0.10000000000000026
34050,0.1000000000000002,0.10000000000000013,0.10000000000000034,0.10000000000000013,0.10000000000000013,0.1000000000000001,0.10000000000000014,0.1000000000000002,0.10000000000000007,0.10000000000000024
34550,0.10000000000000016,0.10000000000000003,0.10000000000000014,0.10000000000000007,0.10000000000000023,0.10000000000000005,0.10000000000000014,0.10000000000000014,0.10000000000000003,0.1000000000000001
35050,0.10000000000000007,0.10000000000000003,0.10000000000000003,0.10000000000000007,0.10000000000000009,0.10000000000000005,0.10000000000000006,0.10000000000000003,0.10000000000000003,0.10000000000000007
35550,0.10000000000000006,0.10000000000000002,0.10000000000000003,0.10000000000000003,0.10000000000000006,0.10000000000000003,0.10000000000000003,0.10000000000000006,0.10000000000000002,0.10000000000000006
36050,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000003,0.10000000000000002,0.10000000000000003,0.10000000000000002
36550,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
37050,0.10000000000000002,0.1,0.10000000000000002,0.1,0.1,0.10000000000000002,0.1,0.10000000000000002,0.1,0.10000000000000002
